seed	verdict	end_min	js_errors	failed_ai	harness	pop_limit	will	wonderord	poptech	fortress	assembly	carnyx	focus	razed	level	warbuy	corral	hero	champ
82	win	31.1	0	0	1	300	0	0	0	1	1	0	0	3	0	15	0	0	10
83	win	43.6	0	0	1	360	1	1	1	1	1	11	0	6	2	17	0	2	56
84	win	29.9	0	0	1	300	0	1	0	1	1	0	0	12	0	9	0	0	30
85	win	30.5	0	0	1	300	1	0	0	1	1	2	0	6	3	9	0	1	2
86	win	30.9	0	0	1	300	0	0	0	0	0	0	0	4	0	13	0	0	20
87	win	31.8	0	0	1	300	0	0	0	0	1	0	0	0	0	0	0	0	0
88	timeout	45.0	0	0	1	300	0	2	0	1	1	2	0	1	2	15	0	1	47
89	win	40.2	0	0	1	300	1	1	0	1	1	3	0	4	0	16	0	1	42
90	win	24.1	0	0	1	300	0	0	0	0	1	0	0	0	0	0	0	1	0
91	win	31.8	0	0	1	300	0	1	0	1	1	2	0	12	0	16	0	1	7
92	win	31.3	0	0	1	300	0	3	1	1	1	2	0	7	0	15	0	1	7
93	win	38.3	0	0	1	300	0	0	0	1	1	2	0	12	1	16	0	1	2
94	win	30.8	0	0	1	300	0	0	0	1	1	3	0	5	3	7	0	1	28
95	win	28.2	0	0	1	300	0	0	0	0	0	0	0	1	0	5	0	0	5
96	timeout	45.0	0	0	1	300	0	0	0	1	1	0	0	0	0	0	0	0	95
97	win	26.0	0	0	1	300	0	0	0	1	1	2	0	0	0	11	0	1	2
98	win	28.0	0	0	1	300	0	0	0	1	1	2	0	3	3	8	0	1	22
99	win	29.7	0	0	1	300	0	2	0	1	1	3	0	12	1	10	0	1	8
100	win	26.7	0	0	1	300	0	0	0	1	1	0	0	1	0	11	0	0	0
101	win	28.8	0	0	1	300	0	1	0	1	1	2	0	3	0	9	0	1	40
102	win	26.8	0	0	1	300	0	0	0	0	0	0	0	0	2	5	0	0	0
103	win	31.3	0	0	1	300	0	0	0	1	4	3	0	1	2	8	0	3	3
104	win	33.5	0	0	1	300	0	1	0	0	1	2	0	2	3	15	0	1	32
105	win	37.1	0	0	1	360	0	1	1	1	1	2	0	5	0	22	0	1	17
106	win	39.8	0	0	1	300	1	0	0	1	1	3	0	2	3	16	0	1	23
107	win	29.6	0	0	1	300	0	0	0	1	1	2	0	0	4	7	0	2	22
108	win	38.0	0	0	1	300	1	0	0	1	1	7	0	13	1	16	0	3	22
109	win	43.0	0	0	1	300	1	0	0	1	1	2	0	21	6	14	0	1	22
110	win	34.3	0	0	1	300	0	0	0	1	1	3	0	1	0	11	0	1	28
111	timeout	45.0	0	0	1	300	0	0	0	0	3	2	0	1	0	9	0	1	2
112	win	29.0	0	0	1	300	0	0	0	1	1	2	0	8	2	11	0	1	22
113	win	35.6	0	0	1	300	0	0	0	0	1	2	0	1	0	6	0	1	22
114	win	34.8	0	0	1	300	1	0	0	1	1	3	0	9	0	17	0	1	27
115	win	31.8	0	0	1	300	1	1	0	1	1	2	0	9	0	15	0	1	12
116	win	36.6	0	0	1	300	1	0	0	1	1	4	0	11	0	20	0	2	29
117	win	33.3	0	0	1	300	1	0	0	1	1	2	0	6	3	8	0	1	12
118	win	29.3	0	0	1	300	0	2	0	1	1	2	0	3	0	14	0	1	16
119	win	38.9	0	0	1	360	1	1	1	2	1	5	0	14	7	12	0	2	30
120	win	30.4	0	0	1	300	0	0	0	1	1	2	0	3	1	8	0	2	2
121	win	44.4	0	0	1	360	1	1	1	1	1	2	0	16	3	18	0	1	17
122	win	25.0	0	0	1	300	0	0	0	0	0	0	0	1	0	3	0	0	10
123	win	28.0	0	0	1	300	0	0	0	0	1	3	0	2	0	9	0	1	3
124	win	26.0	0	0	1	300	0	0	0	0	1	0	0	2	0	8	0	0	0
125	timeout	45.0	0	0	1	170	0	0	0	0	0	0	0	0	0	0	0	0	5
126	win	31.4	0	0	1	300	0	1	0	1	1	0	0	7	0	10	0	0	20
127	win	30.1	0	0	1	300	0	0	0	1	1	2	0	3	3	6	0	1	22
128	win	33.8	0	0	1	300	0	0	0	0	0	0	0	4	0	11	0	0	0
129	win	31.5	0	0	1	300	0	0	0	1	1	2	0	1	2	10	0	1	12
130	win	27.5	0	0	1	300	0	0	0	1	1	2	0	1	0	11	0	1	17
131	win	26.4	0	0	1	300	0	0	0	0	1	2	0	1	0	10	0	1	7
132	win	33.4	0	0	1	300	0	1	1	1	1	2	0	16	2	15	0	1	17
133	win	33.2	0	0	1	300	0	1	0	1	1	2	0	3	0	13	0	1	12
134	win	38.0	0	0	1	300	0	0	0	0	1	3	0	3	1	6	0	1	3
135	win	37.3	0	0	1	300	0	0	0	1	1	8	0	6	0	5	0	2	28
136	win	30.2	0	0	1	300	0	0	0	1	1	2	0	3	3	5	0	1	12
137	win	25.1	0	0	1	300	0	0	0	0	0	0	0	1	0	5	0	0	0
138	loss	28.2	0	0	1	300	0	0	0	0	0	0	0	0	0	0	0	0	0
139	win	37.4	0	0	1	300	1	1	0	1	1	2	0	5	2	14	0	1	5
140	win	33.2	0	0	1	300	1	0	0	1	1	3	0	1	1	11	0	1	18
141	loss	43.0	0	0	1	105	0	0	0	0	0	0	0	0	0	0	0	0	0
142	win	33.1	0	0	1	300	0	0	0	1	1	2	0	8	4	9	0	1	27
143	win	28.0	0	0	1	300	0	0	0	0	0	0	0	5	0	8	0	0	0
144	win	41.7	0	0	1	300	1	2	1	1	2	4	0	25	1	19	0	2	59
145	win	33.5	0	0	1	300	1	1	0	1	1	2	0	0	0	11	0	1	22
146	win	35.4	0	0	1	300	0	0	0	1	1	2	0	6	0	7	0	1	25
147	win	28.4	0	0	1	300	0	2	0	1	1	2	0	6	0	14	0	1	1
148	timeout	45.0	0	0	1	300	0	0	0	0	1	7	0	7	2	5	0	2	26
149	win	32.5	0	0	1	300	0	0	0	1	1	2	0	2	3	8	0	1	22
150	win	31.0	0	0	1	300	0	0	0	0	0	0	0	3	2	9	0	0	10
151	win	43.1	0	0	1	300	0	1	0	1	1	2	0	0	0	16	0	1	15
152	win	43.0	0	0	1	300	0	0	0	0	0	0	0	5	0	8	0	0	15
153	win	33.0	0	0	1	300	0	0	0	1	1	2	0	0	3	4	0	1	7
154	win	33.0	0	0	1	300	0	0	0	1	1	2	0	2	0	15	0	1	7
155	win	28.2	0	0	1	300	0	0	0	0	1	2	0	2	0	6	0	1	7
156	win	29.4	0	0	1	300	1	1	0	1	1	2	0	1	0	13	0	1	2
157	win	23.0	0	0	1	300	0	0	0	1	1	2	0	1	0	7	0	1	7
158	win	32.2	0	0	1	300	0	0	0	0	0	0	0	6	3	6	0	0	35
159	win	35.7	0	0	1	300	1	1	0	1	1	0	0	4	3	12	0	0	20
160	win	29.9	0	0	1	300	0	0	0	1	0	0	0	5	0	9	0	0	0
161	win	29.0	0	0	1	300	0	0	0	0	0	0	0	3	1	11	0	0	5
162	win	38.8	0	0	1	300	0	1	0	1	1	4	0	2	2	18	0	1	34
163	win	23.7	0	0	1	300	0	0	0	0	0	0	0	1	2	5	0	0	0
164	win	30.4	0	0	1	300	0	1	1	1	1	5	0	7	0	11	0	3	20
165	win	29.3	0	0	1	300	1	1	1	1	1	2	0	4	3	15	0	1	12
166	win	34.4	0	0	1	300	0	0	0	1	1	3	0	3	1	5	0	1	8
167	win	23.0	0	0	1	300	0	0	0	0	1	0	0	0	0	0	0	0	0
168	win	29.3	0	0	1	300	0	0	0	1	1	2	0	2	0	11	0	1	22
169	win	40.6	0	0	1	300	1	0	0	1	1	5	0	2	1	8	0	2	24
170	timeout	45.0	0	0	1	300	0	0	0	0	0	0	0	0	0	0	0	0	0
171	win	29.3	0	0	1	300	0	0	0	1	1	2	0	4	0	13	0	1	1
172	win	33.6	0	0	1	300	0	1	1	1	1	2	0	5	0	19	0	1	37
173	win	31.6	0	0	1	300	0	0	0	0	0	0	0	0	0	12	0	0	15
174	win	28.0	0	0	1	300	0	1	0	1	1	2	0	2	1	14	0	1	31
175	win	26.2	0	0	1	300	0	0	0	0	0	0	0	0	0	0	0	0	10
176	win	34.6	0	0	1	300	0	1	1	1	1	2	0	1	0	17	0	1	2
177	win	35.1	0	0	1	300	1	0	0	1	1	2	0	8	0	16	0	1	12
178	win	32.0	0	0	1	300	0	0	0	1	1	2	0	3	0	15	0	1	17
179	win	41.7	0	0	1	300	0	1	1	1	1	4	0	7	4	12	0	2	4
180	win	29.0	0	0	1	300	0	0	0	1	1	2	0	2	3	5	0	1	12
181	win	35.0	0	0	1	300	1	1	0	1	1	2	0	6	0	18	0	1	67
182	win	26.5	0	0	1	300	0	0	0	0	0	0	0	0	0	0	0	0	0
183	win	31.3	0	0	1	300	0	1	0	1	1	3	0	3	0	16	0	1	13
184	win	38.9	0	0	1	300	1	0	0	1	1	2	0	13	1	17	0	1	17
185	win	28.0	0	0	1	300	0	0	0	0	0	0	0	3	3	6	0	0	0
186	win	27.0	0	0	1	300	1	0	0	1	1	2	0	5	0	15	0	1	17
187	win	28.0	0	0	1	300	0	1	0	1	1	0	0	1	0	12	0	0	5
188	win	29.3	0	0	1	300	0	0	0	1	1	4	0	0	4	5	0	1	33
189	win	28.5	0	0	1	300	0	0	0	1	1	2	0	2	3	6	0	1	17
190	win	30.0	0	0	1	300	0	0	0	0	0	0	0	0	0	0	0	0	0
191	win	28.8	0	0	1	300	0	0	0	0	0	0	0	4	4	8	0	0	10
192	win	27.3	0	0	1	300	0	0	0	0	0	0	0	2	0	12	0	0	0
193	win	28.5	0	0	1	300	0	0	0	1	1	1	0	0	0	0	0	1	10
194	win	31.0	0	0	1	300	0	0	0	0	0	0	0	0	0	11	0	0	0
195	win	21.5	0	0	1	300	0	0	0	0	0	0	0	0	0	6	0	0	0
196	win	32.0	0	0	1	300	0	1	1	1	1	2	0	5	1	17	0	1	12
197	win	30.1	0	0	1	300	0	0	0	1	1	2	0	0	4	8	0	1	27
198	win	28.8	0	0	1	300	0	0	0	1	1	2	0	7	0	3	0	1	2
199	win	27.0	0	0	1	300	0	0	0	0	0	0	0	2	0	6	0	0	0
200	win	34.3	0	0	1	300	0	1	0	1	1	2	0	13	0	18	0	1	7
