seed	verdict	end_min	js_errors	failed_ai	harness	pop_limit	will	wonderord	poptech	fortress	assembly	carnyx	focus	razed	level	warbuy	corral	tier3	hero	champ
1	win	44.9	0	0	1	300	0	1	0	1	1	1	0	1	0	14	0	4	1	31
2	win	35.1	0	0	1	300	0	0	0	1	1	3	0	2	4	8	0	1	1	18
3	win	33.5	0	0	1	300	0	0	0	0	0	0	0	3	0	4	0	3	0	0
4	win	34.6	0	0	1	300	0	1	0	1	1	2	0	19	2	10	0	4	1	22
5	win	30.3	0	0	1	300	0	0	0	1	1	0	0	0	1	5	0	4	0	0
6	win	36.3	0	0	1	300	0	0	0	1	1	2	0	14	2	17	0	4	1	7
7	win	31.1	0	0	1	300	0	0	0	0	0	0	0	1	0	0	0	0	0	0
8	win	34.1	0	0	1	300	0	0	0	1	1	2	0	1	0	16	0	4	1	22
9	win	29.1	0	0	1	300	0	0	0	0	0	0	0	1	0	8	0	4	0	0
10	win	25.0	0	0	1	300	0	0	0	1	1	2	0	1	0	8	0	1	1	2
11	win	32.1	0	0	1	300	0	0	0	0	0	0	0	0	3	7	0	2	0	0
12	win	36.5	0	0	1	300	0	1	0	1	1	2	0	4	1	17	0	4	1	17
13	win	40.0	0	0	1	300	1	2	0	1	1	3	0	2	1	19	0	4	1	33
14	win	30.9	0	0	1	300	0	0	0	1	1	2	0	3	2	9	0	2	1	32
15	win	27.0	0	0	1	300	0	0	0	0	0	0	0	0	0	8	0	4	0	5
16	win	29.6	0	0	1	300	0	0	0	1	1	2	0	2	1	5	0	2	1	25
17	win	36.2	0	0	1	300	0	1	1	1	1	2	0	12	6	19	0	4	1	22
18	win	36.6	0	0	1	300	0	1	1	1	1	5	0	11	4	16	0	4	1	5
19	win	33.0	0	0	1	300	0	1	0	1	1	2	0	10	2	10	0	4	1	16
20	win	34.4	0	0	1	300	0	0	0	1	1	5	0	8	0	11	0	4	1	9
21	win	33.8	0	0	1	300	0	1	0	1	1	3	0	6	1	16	0	4	1	3
22	win	28.7	0	0	1	300	0	0	0	0	1	0	0	0	0	0	0	0	1	20
23	win	38.0	0	0	1	360	0	1	1	1	1	2	0	15	1	21	0	4	1	12
24	win	28.0	0	0	1	300	0	1	0	1	1	1	0	9	0	13	0	4	1	1
25	win	32.1	0	0	1	300	0	2	0	1	1	2	0	19	2	16	0	4	1	22
26	win	36.9	0	0	1	300	0	0	0	1	5	2	0	7	4	11	0	4	1	7
27	win	29.2	0	0	1	300	0	0	0	0	1	2	0	2	2	7	0	3	1	7
28	win	35.7	0	0	1	300	0	1	1	1	1	2	0	4	7	18	0	4	1	27
29	win	33.0	0	0	1	300	0	1	1	1	1	2	0	6	3	12	0	4	1	27
30	win	38.4	0	0	1	300	0	0	0	1	1	6	0	4	0	14	0	2	1	4
31	win	28.0	0	0	1	300	0	0	0	1	2	2	0	4	1	8	0	1	2	2
32	win	29.8	0	0	1	300	0	0	0	1	1	0	0	0	4	6	0	2	1	15
33	win	34.5	0	0	1	300	0	1	0	1	1	2	0	12	2	13	0	4	1	17
34	win	38.8	0	0	1	300	0	0	0	1	4	6	0	4	1	11	0	4	2	26
35	win	33.0	0	0	1	300	0	0	0	0	1	6	0	5	0	12	0	4	2	6
36	win	32.1	0	0	1	300	0	1	1	1	1	2	0	1	1	15	0	4	1	7
37	win	35.5	0	0	1	300	0	0	0	1	1	2	0	5	0	11	0	1	2	17
38	win	26.2	0	0	1	300	0	0	0	1	1	2	0	3	0	9	0	2	1	2
39	win	35.9	0	0	1	300	0	0	0	0	1	3	0	1	0	3	0	0	1	13
40	win	31.6	0	0	1	300	0	1	1	1	1	2	0	6	1	15	0	4	1	2
41	win	37.2	0	0	1	300	0	0	0	1	1	2	0	1	0	16	0	4	1	12
42	win	31.0	0	0	1	300	0	1	0	1	1	7	0	9	0	15	0	4	2	42
43	win	24.2	0	0	1	300	0	0	0	1	1	0	0	2	0	9	0	2	0	0
44	win	32.3	0	0	1	300	0	0	0	0	0	0	0	0	1	6	0	4	0	0
45	win	34.7	0	0	1	300	0	0	0	1	1	2	0	1	1	11	0	4	1	2
46	win	31.4	0	0	1	300	0	1	0	1	1	0	0	2	0	13	0	4	0	35
47	timeout	45.0	0	0	1	300	0	0	0	0	0	0	0	3	2	6	0	4	0	15
48	win	33.0	0	0	1	300	0	1	1	1	1	2	0	7	0	19	0	4	1	12
49	win	37.0	0	0	1	300	0	0	0	0	0	0	0	9	1	12	0	4	0	5
50	win	28.0	0	0	1	300	0	0	0	1	1	2	0	0	0	9	0	2	1	17
51	win	38.0	0	0	1	300	0	0	0	0	1	2	0	3	0	7	0	1	1	2
52	win	38.9	0	0	1	300	0	0	0	0	0	0	0	5	0	8	0	4	0	0
53	win	26.8	0	0	1	300	0	0	0	1	1	2	0	0	0	11	0	0	1	7
54	win	33.8	0	0	1	300	0	0	0	1	1	2	0	7	3	13	0	4	1	45
55	timeout	45.0	0	0	1	300	0	0	0	1	1	3	0	2	3	8	0	0	1	37
56	win	33.9	0	0	1	300	0	0	0	1	1	2	0	6	4	5	0	4	1	32
57	win	33.6	0	0	1	300	0	0	0	1	1	3	0	6	3	12	0	4	1	3
58	win	33.1	0	0	1	300	0	0	0	1	1	2	0	5	0	15	0	4	1	2
59	win	33.8	0	0	1	300	0	1	0	1	1	2	0	13	5	14	0	4	1	7
60	win	43.9	0	0	1	300	0	0	0	1	1	3	0	6	3	9	0	4	2	23
61	win	31.4	0	0	1	300	0	0	0	0	0	0	0	2	0	6	0	2	0	0
62	win	29.2	0	0	1	300	0	0	0	1	1	2	0	0	2	11	0	4	1	17
63	win	30.5	0	0	1	300	0	0	0	1	1	2	0	4	1	9	0	2	1	2
64	win	34.5	0	0	1	300	0	2	0	1	1	2	0	11	0	15	0	4	1	12
65	win	38.6	0	0	1	300	0	0	0	0	0	0	0	1	0	12	0	4	0	10
66	win	31.6	0	0	1	300	0	0	0	1	1	2	0	0	1	5	0	0	1	32
67	win	26.8	0	0	1	300	0	0	0	0	0	0	0	2	0	6	0	1	0	15
68	win	34.5	0	0	1	300	0	2	0	1	1	2	0	11	4	13	0	4	1	22
69	win	39.6	0	0	1	300	0	0	0	1	1	5	0	7	0	11	0	4	1	5
70	loss	42.0	0	0	1	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	win	32.1	0	0	1	300	0	0	0	0	1	2	0	2	0	13	0	4	1	17
72	win	35.4	0	0	1	300	0	0	0	1	1	2	0	1	4	7	0	3	1	17
73	win	40.1	0	0	1	300	0	0	0	0	0	0	0	12	0	12	0	4	0	10
74	win	37.2	0	0	1	300	0	0	0	0	1	2	0	7	2	10	0	4	1	26
75	win	24.0	0	0	1	300	0	0	0	0	0	0	0	2	0	1	0	0	0	0
76	win	42.4	0	0	1	300	0	1	0	1	1	0	0	9	1	13	0	4	0	20
77	win	36.8	0	0	1	300	0	1	1	1	1	2	0	8	3	21	0	4	1	42
78	win	30.9	0	0	1	300	0	1	0	1	1	0	0	8	0	17	0	4	0	25
79	win	30.3	0	0	1	300	0	1	0	1	1	0	0	4	0	9	0	4	0	10
80	win	35.3	0	0	1	300	0	0	0	1	1	2	0	4	0	14	0	2	1	17
81	win	25.1	0	0	1	300	0	0	0	0	0	0	0	1	0	6	0	1	0	0
82	win	32.1	0	0	1	300	0	0	0	1	1	2	0	8	1	16	0	4	1	0
83	win	38.1	0	0	1	300	0	0	0	1	1	6	0	6	4	13	0	4	2	11
84	win	31.8	0	0	1	300	0	2	0	1	1	2	0	16	0	11	0	4	1	22
85	win	31.0	0	0	1	300	0	0	0	1	1	2	0	7	2	11	0	5	1	2
86	win	44.1	0	0	1	300	0	1	0	0	1	2	0	17	6	19	0	4	1	22
87	win	31.8	0	0	1	300	0	0	0	0	1	0	0	0	0	0	0	2	0	0
88	timeout	45.0	0	0	1	300	0	1	1	1	1	3	0	1	0	17	0	4	1	52
89	win	39.6	0	0	1	300	0	1	1	1	1	2	0	2	2	14	0	4	1	47
90	win	24.1	0	0	1	300	0	0	0	0	1	0	0	0	0	0	0	0	1	0
91	win	33.7	0	0	1	300	0	2	1	1	1	2	0	9	4	15	0	4	1	7
92	win	29.6	0	0	1	300	0	1	0	1	1	0	0	8	1	11	0	4	0	5
93	win	41.2	0	0	1	300	0	0	0	1	1	0	0	16	5	13	0	4	1	0
94	win	31.0	0	0	1	300	0	0	0	1	1	3	0	6	4	6	0	4	1	28
95	win	28.0	0	0	1	300	0	0	0	0	0	0	0	1	0	5	0	3	0	5
96	timeout	45.0	0	0	1	300	0	0	0	1	1	0	0	0	0	0	0	0	0	95
97	win	26.7	0	0	1	300	0	0	0	1	1	2	0	0	0	11	0	4	1	2
98	win	28.0	0	0	1	300	0	0	0	1	1	2	0	1	4	7	0	2	1	20
99	win	34.4	0	0	1	300	0	1	1	1	1	2	0	17	1	14	0	4	1	7
100	win	26.2	0	0	1	300	0	0	0	0	0	0	0	1	0	10	0	4	0	0
101	win	25.5	0	0	1	300	0	0	0	0	0	0	0	0	0	5	0	4	0	5
102	win	26.7	0	0	1	300	0	0	0	0	0	0	0	0	2	5	0	0	0	0
103	win	31.4	0	0	1	300	0	0	0	1	4	3	0	1	2	9	0	3	3	3
104	win	33.8	0	0	1	300	0	1	0	1	1	2	0	2	3	15	0	4	1	37
105	win	33.6	0	0	1	300	0	1	0	1	1	2	0	4	0	17	0	4	1	22
106	win	38.9	0	0	1	300	0	0	0	1	1	3	0	4	4	13	0	4	1	23
107	win	29.8	0	0	1	300	0	0	0	1	1	2	0	0	4	6	0	1	2	22
108	win	38.9	0	0	1	300	0	0	0	1	1	10	0	11	0	19	0	4	3	25
109	win	42.2	0	0	1	300	0	1	0	1	1	0	0	17	5	14	0	4	0	55
110	win	34.4	0	0	1	300	0	0	0	1	1	3	0	4	0	11	0	0	1	27
111	timeout	45.0	0	0	1	300	0	0	0	0	3	2	0	1	3	5	0	2	1	2
112	win	28.6	0	0	1	300	0	0	0	1	1	0	0	7	4	9	0	4	1	20
113	win	35.4	0	0	1	300	0	0	0	0	1	1	0	1	1	5	0	2	1	16
114	win	35.1	0	0	1	300	0	0	0	1	1	2	0	9	0	16	0	4	1	27
115	win	33.0	0	0	1	300	0	0	0	1	1	2	0	9	3	13	0	4	1	12
116	win	35.9	0	0	1	300	0	1	0	1	1	2	0	10	0	19	0	4	1	27
117	win	32.4	0	0	1	300	0	0	0	1	1	0	0	8	4	4	0	3	0	10
118	win	28.9	0	0	1	300	0	1	0	1	1	0	0	2	1	12	0	4	0	5
119	win	37.0	0	0	1	300	1	2	1	1	1	4	0	10	5	13	0	4	2	9
120	win	30.5	0	0	1	300	0	0	0	1	1	2	0	4	3	6	0	2	2	2
121	win	41.0	0	0	1	300	0	1	0	1	1	2	0	12	1	17	0	4	1	12
122	win	25.0	0	0	1	300	0	0	0	0	0	0	0	1	0	3	0	1	0	10
123	win	27.4	0	0	1	300	0	0	0	0	1	3	0	2	0	8	0	0	2	3
124	win	25.1	0	0	1	300	0	0	0	0	0	0	0	1	0	7	0	2	0	0
125	timeout	45.0	0	0	1	170	0	0	0	0	0	0	0	0	0	0	0	0	0	5
126	win	33.4	0	0	1	300	0	1	0	1	1	2	0	8	4	9	0	4	1	17
